CustomerID,Age,Gender,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,ClaimsMade,CustomerSatisfactionScore,Region
1,40,Male,Auto,13/07/2023,13/07/2026 0:00,640.22,0,9,East
2,25,Male,Home,22/05/2020,22/05/2021 0:00,478.76,4,9,North
3,69,Female,Auto,02/02/2024,02/02/2026 0:00,653.63,1,6,East
4,,Male,Motor,15/06/2024,,453.56,2,5,South
5,40,Female,Motor,23/10/2019,23/10/2022 0:00,637.39,0,10,North
6,41,Male,Home,20/12/2023,20/12/2025 0:00,1497.79,2,10,South
7,61,Male,Auto,06/03/2020,06/03/2021 0:00,637.87,3,10,West
8,43,Male,Motor,07/04/2020,,1090.36,3,8,South
9,22,Male,Motor,11/10/2020,,342.56,3,7,West
10,59,Male,Motor,28/10/2022,,482.99,0,4,East
11,26,Female,Home,24/03/2022,24/03/2023 0:00,1210.53,3,7,North
12,31,Female,Motor,26/11/2020,,788.69,4,3,North
13,58,Female,Home,24/02/2024,24/02/2026 0:00,1136.31,2,,East
14,18,Female,Motor,12/09/2024,12/09/2026 0:00,578.86,1,9,East
15,28,Male,Motor,03/12/2023,,455.2,1,6,North
16,23,Male,Auto,05/06/2021,05/06/2024 0:00,1422.41,1,1,East
17,42,Female,Motor,16/06/2024,16/06/2027 0:00,851.58,2,7,East
18,36,Female,Auto,15/02/2024,,320.42,1,9,East
19,54,Male,Auto,25/02/2023,25/02/2024 0:00,1481.98,5,2,South
20,44,Male,Motor,19/06/2024,19/06/2025 0:00,871.41,5,7,East
21,33,Female,Auto,06/08/2020,06/08/2022 0:00,923,3,7,East
22,50,Male,Home,25/12/2022,25/12/2024 0:00,348.96,3,5,East
23,45,Male,Motor,25/08/2020,25/08/2021 0:00,556,2,6,East
24,22,Female,Motor,09/10/2019,,889.27,1,8,North
25,,Female,Home,08/03/2023,08/03/2026 0:00,1167.32,4,6,South
26,67,Male,Motor,09/05/2024,,664.75,5,3,West
27,48,Male,Auto,05/10/2022,05/10/2023 0:00,1005.02,0,5,North
28,59,Female,Motor,27/10/2020,,507.32,5,4,South
29,19,Male,Motor,21/10/2021,,1093.61,2,9,North
30,56,Female,Motor,16/01/2021,16/01/2024 0:00,1146.32,3,1,West
31,69,Female,Home,03/04/2023,03/04/2026 0:00,965.03,1,9,West
32,45,Female,Auto,06/03/2024,06/03/2025 0:00,1118.53,1,10,East
33,57,Male,Home,01/04/2020,01/04/2022 0:00,376.36,3,4,East
34,66,Female,Home,02/02/2023,02/02/2024 0:00,282.48,1,4,West
35,34,Male,Motor,11/10/2021,,854.79,3,4,South
36,45,Female,Motor,17/10/2019,,902.41,2,3,East
37,48,Male,Auto,22/09/2022,22/09/2025 0:00,288.65,3,10,South
38,41,Female,Home,09/01/2021,09/01/2024 0:00,803.46,0,8,West
39,64,Female,Home,03/07/2021,03/07/2022 0:00,1376.52,5,9,East
40,44,Male,Motor,27/09/2019,,642.93,1,2,East
41,58,Male,Motor,27/05/2020,27/05/2021 0:00,620.75,5,3,North
42,69,Male,Auto,02/07/2021,02/07/2024 0:00,1014.13,0,2,East
43,51,Male,Home,22/04/2021,,1483.82,4,2,South
44,45,Male,Home,17/10/2020,17/10/2023 0:00,838.47,3,10,East
45,20,Male,Motor,15/08/2023,15/08/2025 0:00,1199.65,0,9,East
46,45,Female,Motor,11/02/2022,,1331.81,1,1,East
47,35,Female,Auto,18/05/2021,18/05/2024 0:00,633.46,4,5,East
48,18,Male,Motor,09/12/2021,09/12/2022 0:00,1172.93,0,4,West
49,44,Female,Home,23/11/2020,23/11/2022 0:00,633.26,3,10,South
50,64,Female,Auto,13/02/2020,13/02/2022 0:00,544.74,3,10,East
51,45,Female,Auto,16/02/2023,16/02/2024 0:00,1019.53,3,2,West
