Date,DateKey,Year,Month,MonthName,MonthShort,Day,DayOfWeekNum,DayName,IsWeekend,Quarter,QuarterName,WeekOfYear,FiscalYear,FiscalYearLabel,FiscalMonthNum,FiscalQuarter
2023-09-01,20230901,2023,9,September,Sep,1,4,Friday,False,3,Q3,35,2023,FY23-24,6,2
2023-09-02,20230902,2023,9,September,Sep,2,5,Saturday,True,3,Q3,35,2023,FY23-24,6,2
2023-09-03,20230903,2023,9,September,Sep,3,6,Sunday,True,3,Q3,35,2023,FY23-24,6,2
2023-09-04,20230904,2023,9,September,Sep,4,0,Monday,False,3,Q3,36,2023,FY23-24,6,2
2023-09-05,20230905,2023,9,September,Sep,5,1,Tuesday,False,3,Q3,36,2023,FY23-24,6,2
2023-09-06,20230906,2023,9,September,Sep,6,2,Wednesday,False,3,Q3,36,2023,FY23-24,6,2
2023-09-07,20230907,2023,9,September,Sep,7,3,Thursday,False,3,Q3,36,2023,FY23-24,6,2
2023-09-08,20230908,2023,9,September,Sep,8,4,Friday,False,3,Q3,36,2023,FY23-24,6,2
2023-09-09,20230909,2023,9,September,Sep,9,5,Saturday,True,3,Q3,36,2023,FY23-24,6,2
2023-09-10,20230910,2023,9,September,Sep,10,6,Sunday,True,3,Q3,36,2023,FY23-24,6,2
2023-09-11,20230911,2023,9,September,Sep,11,0,Monday,False,3,Q3,37,2023,FY23-24,6,2
2023-09-12,20230912,2023,9,September,Sep,12,1,Tuesday,False,3,Q3,37,2023,FY23-24,6,2
2023-09-13,20230913,2023,9,September,Sep,13,2,Wednesday,False,3,Q3,37,2023,FY23-24,6,2
2023-09-14,20230914,2023,9,September,Sep,14,3,Thursday,False,3,Q3,37,2023,FY23-24,6,2
2023-09-15,20230915,2023,9,September,Sep,15,4,Friday,False,3,Q3,37,2023,FY23-24,6,2
2023-09-16,20230916,2023,9,September,Sep,16,5,Saturday,True,3,Q3,37,2023,FY23-24,6,2
2023-09-17,20230917,2023,9,September,Sep,17,6,Sunday,True,3,Q3,37,2023,FY23-24,6,2
2023-09-18,20230918,2023,9,September,Sep,18,0,Monday,False,3,Q3,38,2023,FY23-24,6,2
2023-09-19,20230919,2023,9,September,Sep,19,1,Tuesday,False,3,Q3,38,2023,FY23-24,6,2
2023-09-20,20230920,2023,9,September,Sep,20,2,Wednesday,False,3,Q3,38,2023,FY23-24,6,2
2023-09-21,20230921,2023,9,September,Sep,21,3,Thursday,False,3,Q3,38,2023,FY23-24,6,2
2023-09-22,20230922,2023,9,September,Sep,22,4,Friday,False,3,Q3,38,2023,FY23-24,6,2
2023-09-23,20230923,2023,9,September,Sep,23,5,Saturday,True,3,Q3,38,2023,FY23-24,6,2
2023-09-24,20230924,2023,9,September,Sep,24,6,Sunday,True,3,Q3,38,2023,FY23-24,6,2
2023-09-25,20230925,2023,9,September,Sep,25,0,Monday,False,3,Q3,39,2023,FY23-24,6,2
2023-09-26,20230926,2023,9,September,Sep,26,1,Tuesday,False,3,Q3,39,2023,FY23-24,6,2
2023-09-27,20230927,2023,9,September,Sep,27,2,Wednesday,False,3,Q3,39,2023,FY23-24,6,2
2023-09-28,20230928,2023,9,September,Sep,28,3,Thursday,False,3,Q3,39,2023,FY23-24,6,2
2023-09-29,20230929,2023,9,September,Sep,29,4,Friday,False,3,Q3,39,2023,FY23-24,6,2
2023-09-30,20230930,2023,9,September,Sep,30,5,Saturday,True,3,Q3,39,2023,FY23-24,6,2
2023-10-01,20231001,2023,10,October,Oct,1,6,Sunday,True,4,Q4,39,2023,FY23-24,7,3
2023-10-02,20231002,2023,10,October,Oct,2,0,Monday,False,4,Q4,40,2023,FY23-24,7,3
2023-10-03,20231003,2023,10,October,Oct,3,1,Tuesday,False,4,Q4,40,2023,FY23-24,7,3
2023-10-04,20231004,2023,10,October,Oct,4,2,Wednesday,False,4,Q4,40,2023,FY23-24,7,3
2023-10-05,20231005,2023,10,October,Oct,5,3,Thursday,False,4,Q4,40,2023,FY23-24,7,3
2023-10-06,20231006,2023,10,October,Oct,6,4,Friday,False,4,Q4,40,2023,FY23-24,7,3
2023-10-07,20231007,2023,10,October,Oct,7,5,Saturday,True,4,Q4,40,2023,FY23-24,7,3
2023-10-08,20231008,2023,10,October,Oct,8,6,Sunday,True,4,Q4,40,2023,FY23-24,7,3
2023-10-09,20231009,2023,10,October,Oct,9,0,Monday,False,4,Q4,41,2023,FY23-24,7,3
2023-10-10,20231010,2023,10,October,Oct,10,1,Tuesday,False,4,Q4,41,2023,FY23-24,7,3
2023-10-11,20231011,2023,10,October,Oct,11,2,Wednesday,False,4,Q4,41,2023,FY23-24,7,3
2023-10-12,20231012,2023,10,October,Oct,12,3,Thursday,False,4,Q4,41,2023,FY23-24,7,3
2023-10-13,20231013,2023,10,October,Oct,13,4,Friday,False,4,Q4,41,2023,FY23-24,7,3
2023-10-14,20231014,2023,10,October,Oct,14,5,Saturday,True,4,Q4,41,2023,FY23-24,7,3
2023-10-15,20231015,2023,10,October,Oct,15,6,Sunday,True,4,Q4,41,2023,FY23-24,7,3
2023-10-16,20231016,2023,10,October,Oct,16,0,Monday,False,4,Q4,42,2023,FY23-24,7,3
2023-10-17,20231017,2023,10,October,Oct,17,1,Tuesday,False,4,Q4,42,2023,FY23-24,7,3
2023-10-18,20231018,2023,10,October,Oct,18,2,Wednesday,False,4,Q4,42,2023,FY23-24,7,3
2023-10-19,20231019,2023,10,October,Oct,19,3,Thursday,False,4,Q4,42,2023,FY23-24,7,3
2023-10-20,20231020,2023,10,October,Oct,20,4,Friday,False,4,Q4,42,2023,FY23-24,7,3
2023-10-21,20231021,2023,10,October,Oct,21,5,Saturday,True,4,Q4,42,2023,FY23-24,7,3
2023-10-22,20231022,2023,10,October,Oct,22,6,Sunday,True,4,Q4,42,2023,FY23-24,7,3
2023-10-23,20231023,2023,10,October,Oct,23,0,Monday,False,4,Q4,43,2023,FY23-24,7,3
2023-10-24,20231024,2023,10,October,Oct,24,1,Tuesday,False,4,Q4,43,2023,FY23-24,7,3
2023-10-25,20231025,2023,10,October,Oct,25,2,Wednesday,False,4,Q4,43,2023,FY23-24,7,3
2023-10-26,20231026,2023,10,October,Oct,26,3,Thursday,False,4,Q4,43,2023,FY23-24,7,3
2023-10-27,20231027,2023,10,October,Oct,27,4,Friday,False,4,Q4,43,2023,FY23-24,7,3
2023-10-28,20231028,2023,10,October,Oct,28,5,Saturday,True,4,Q4,43,2023,FY23-24,7,3
2023-10-29,20231029,2023,10,October,Oct,29,6,Sunday,True,4,Q4,43,2023,FY23-24,7,3
2023-10-30,20231030,2023,10,October,Oct,30,0,Monday,False,4,Q4,44,2023,FY23-24,7,3
2023-10-31,20231031,2023,10,October,Oct,31,1,Tuesday,False,4,Q4,44,2023,FY23-24,7,3
2023-11-01,20231101,2023,11,November,Nov,1,2,Wednesday,False,4,Q4,44,2023,FY23-24,8,3
2023-11-02,20231102,2023,11,November,Nov,2,3,Thursday,False,4,Q4,44,2023,FY23-24,8,3
2023-11-03,20231103,2023,11,November,Nov,3,4,Friday,False,4,Q4,44,2023,FY23-24,8,3
2023-11-04,20231104,2023,11,November,Nov,4,5,Saturday,True,4,Q4,44,2023,FY23-24,8,3
2023-11-05,20231105,2023,11,November,Nov,5,6,Sunday,True,4,Q4,44,2023,FY23-24,8,3
2023-11-06,20231106,2023,11,November,Nov,6,0,Monday,False,4,Q4,45,2023,FY23-24,8,3
2023-11-07,20231107,2023,11,November,Nov,7,1,Tuesday,False,4,Q4,45,2023,FY23-24,8,3
2023-11-08,20231108,2023,11,November,Nov,8,2,Wednesday,False,4,Q4,45,2023,FY23-24,8,3
2023-11-09,20231109,2023,11,November,Nov,9,3,Thursday,False,4,Q4,45,2023,FY23-24,8,3
2023-11-10,20231110,2023,11,November,Nov,10,4,Friday,False,4,Q4,45,2023,FY23-24,8,3
2023-11-11,20231111,2023,11,November,Nov,11,5,Saturday,True,4,Q4,45,2023,FY23-24,8,3
2023-11-12,20231112,2023,11,November,Nov,12,6,Sunday,True,4,Q4,45,2023,FY23-24,8,3
2023-11-13,20231113,2023,11,November,Nov,13,0,Monday,False,4,Q4,46,2023,FY23-24,8,3
2023-11-14,20231114,2023,11,November,Nov,14,1,Tuesday,False,4,Q4,46,2023,FY23-24,8,3
2023-11-15,20231115,2023,11,November,Nov,15,2,Wednesday,False,4,Q4,46,2023,FY23-24,8,3
2023-11-16,20231116,2023,11,November,Nov,16,3,Thursday,False,4,Q4,46,2023,FY23-24,8,3
2023-11-17,20231117,2023,11,November,Nov,17,4,Friday,False,4,Q4,46,2023,FY23-24,8,3
2023-11-18,20231118,2023,11,November,Nov,18,5,Saturday,True,4,Q4,46,2023,FY23-24,8,3
2023-11-19,20231119,2023,11,November,Nov,19,6,Sunday,True,4,Q4,46,2023,FY23-24,8,3
2023-11-20,20231120,2023,11,November,Nov,20,0,Monday,False,4,Q4,47,2023,FY23-24,8,3
2023-11-21,20231121,2023,11,November,Nov,21,1,Tuesday,False,4,Q4,47,2023,FY23-24,8,3
2023-11-22,20231122,2023,11,November,Nov,22,2,Wednesday,False,4,Q4,47,2023,FY23-24,8,3
2023-11-23,20231123,2023,11,November,Nov,23,3,Thursday,False,4,Q4,47,2023,FY23-24,8,3
2023-11-24,20231124,2023,11,November,Nov,24,4,Friday,False,4,Q4,47,2023,FY23-24,8,3
2023-11-25,20231125,2023,11,November,Nov,25,5,Saturday,True,4,Q4,47,2023,FY23-24,8,3
2023-11-26,20231126,2023,11,November,Nov,26,6,Sunday,True,4,Q4,47,2023,FY23-24,8,3
2023-11-27,20231127,2023,11,November,Nov,27,0,Monday,False,4,Q4,48,2023,FY23-24,8,3
2023-11-28,20231128,2023,11,November,Nov,28,1,Tuesday,False,4,Q4,48,2023,FY23-24,8,3
2023-11-29,20231129,2023,11,November,Nov,29,2,Wednesday,False,4,Q4,48,2023,FY23-24,8,3
2023-11-30,20231130,2023,11,November,Nov,30,3,Thursday,False,4,Q4,48,2023,FY23-24,8,3
2023-12-01,20231201,2023,12,December,Dec,1,4,Friday,False,4,Q4,48,2023,FY23-24,9,3
2023-12-02,20231202,2023,12,December,Dec,2,5,Saturday,True,4,Q4,48,2023,FY23-24,9,3
2023-12-03,20231203,2023,12,December,Dec,3,6,Sunday,True,4,Q4,48,2023,FY23-24,9,3
2023-12-04,20231204,2023,12,December,Dec,4,0,Monday,False,4,Q4,49,2023,FY23-24,9,3
2023-12-05,20231205,2023,12,December,Dec,5,1,Tuesday,False,4,Q4,49,2023,FY23-24,9,3
2023-12-06,20231206,2023,12,December,Dec,6,2,Wednesday,False,4,Q4,49,2023,FY23-24,9,3
2023-12-07,20231207,2023,12,December,Dec,7,3,Thursday,False,4,Q4,49,2023,FY23-24,9,3
2023-12-08,20231208,2023,12,December,Dec,8,4,Friday,False,4,Q4,49,2023,FY23-24,9,3
2023-12-09,20231209,2023,12,December,Dec,9,5,Saturday,True,4,Q4,49,2023,FY23-24,9,3
2023-12-10,20231210,2023,12,December,Dec,10,6,Sunday,True,4,Q4,49,2023,FY23-24,9,3
2023-12-11,20231211,2023,12,December,Dec,11,0,Monday,False,4,Q4,50,2023,FY23-24,9,3
2023-12-12,20231212,2023,12,December,Dec,12,1,Tuesday,False,4,Q4,50,2023,FY23-24,9,3
2023-12-13,20231213,2023,12,December,Dec,13,2,Wednesday,False,4,Q4,50,2023,FY23-24,9,3
2023-12-14,20231214,2023,12,December,Dec,14,3,Thursday,False,4,Q4,50,2023,FY23-24,9,3
2023-12-15,20231215,2023,12,December,Dec,15,4,Friday,False,4,Q4,50,2023,FY23-24,9,3
2023-12-16,20231216,2023,12,December,Dec,16,5,Saturday,True,4,Q4,50,2023,FY23-24,9,3
2023-12-17,20231217,2023,12,December,Dec,17,6,Sunday,True,4,Q4,50,2023,FY23-24,9,3
2023-12-18,20231218,2023,12,December,Dec,18,0,Monday,False,4,Q4,51,2023,FY23-24,9,3
